time	counts
1	22
2	7
3	16
4	18
5	18
6	18
7	18
8	18
9	16
10	10
11	18
12	18
13	24
14	18
15	18
16	16
17	16
18	16
19	10
20	24
21	16
22	18
23	18
24	10
25	10
26	16
27	18
28	16
29	18
30	18
31	18
32	10
33	18
34	16
35	24
36	11
37	9
38	16
39	18
40	18
41	16
42	18
43	18
44	0
45	16
46	16
47	21
48	10
49	19
50	30
51	33
52	2
53	12
54	5
Total size = 4191
