stateId	address
0	1	
2	23	
5	46	
8	64	
9	82	
10	100	
11	118	
12	136	
14	152	
17	170	
18	188	
19	206	
20	222	
21	240	
22	258	
23	274	
24	290	
25	306	
28	324	
29	340	
30	356	
31	374	
32	392	
33	410	
34	426	
37	444	
38	462	
39	480	
40	498	
41	516	
42	534	
43	552	
44	568	
45	584	
46	602	
47	618	
50	636	
51	654	
52	672	
53	690	
54	708	
55	724	
58	740	
61	761	
62	790	
63	820	
Total size = 4191
